t_rel_s,phase,actor,service,url,result,http_code,latency_ms,error
19.156,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,40,
19.163,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,42,
19.163,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,43,
19.163,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,41,
19.163,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,41,
19.167,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,46,
19.193,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,43,
19.196,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,46,
19.640,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,38,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 32 ms: No route to host |
19.640,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,38,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 34 ms: No route to host |
20.183,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,37,
20.184,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,38,
20.195,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,35,
20.198,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,38,
20.198,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,38,
20.202,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,35,
20.203,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,38,
20.204,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,38,
20.206,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,39,
20.211,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,43,
20.237,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,39,
20.237,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,42,
21.229,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,42,
21.229,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,43,
21.246,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,40,
21.246,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,49,
21.246,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,44,
21.246,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,45,
21.252,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,44,
21.252,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,46,
21.252,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,46,
21.258,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,45,
21.281,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,41,
21.281,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,41,
21.506,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,2015,curl: (28) Connection timeout after 2007 ms |
22.279,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,38,
22.284,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,43,
22.288,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,37,
22.290,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,39,
22.290,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,40,
22.291,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,36,
22.291,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,41,
22.292,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,38,
22.292,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,38,
22.298,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,38,
22.323,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,39,
22.324,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,42,
22.583,NORMAL,zt_attacker,svc_critical,http://10.0.0.30:8000,blocked,000,60,curl: (7) Failed to connect to 10.0.0.30 port 8000 after 54 ms: No route to host |
22.653,NORMAL,zt_civilian_user,svc_critical,http://10.0.0.30:8000,blocked,000,2006,curl: (28) Connection timeout after 2001 ms |
22.656,NORMAL,zt_responder,svc_critical,http://10.0.0.30:8000,blocked,000,2008,curl: (28) Connection timeout after 2001 ms |
23.343,NORMAL,zt_attacker,svc_alert,http://10.0.0.31:8000,success,200,52,
23.343,NORMAL,zt_civilian_user,svc_external,http://10.0.0.70:8000,success,200,50,
23.343,NORMAL,zt_attacker,svc_external,http://10.0.0.70:8000,success,200,52,
23.343,NORMAL,zt_civilian_user,svc_noncritical,http://10.0.0.40:8000,success,200,52,
23.343,NORMAL,zt_sensor,svc_central_identity,http://10.0.0.10:8000,success,200,49,
23.344,NORMAL,zt_sensor,svc_alert,http://10.0.0.31:8000,success,200,53,
23.344,NORMAL,zt_responder,svc_noncritical,http://10.0.0.40:8000,success,200,50,
23.344,NORMAL,zt_sensor,svc_external,http://10.0.0.70:8000,success,200,51,
23.344,NORMAL,zt_civilian_user,svc_central_identity,http://10.0.0.10:8000,success,200,50,
23.349,NORMAL,zt_responder,svc_alert,http://10.0.0.31:8000,success,200,49,
23.367,NORMAL,zt_responder,svc_central_identity,http://10.0.0.10:8000,success,200,40,
23.369,NORMAL,zt_responder,svc_external,http://10.0.0.70:8000,success,200,43,
